algo,n,time_ms,max_depth,comparisons,allocations,extra
mergesort,1000,2,6,13349,1,
quicksort,1000,1,6,10763,0,
select,1000,0,1,3954,0,k=500
closest,1000,7,10,1157,1,d=674,547446
mergesort,5000,1,9,66704,1,
quicksort,5000,1,8,73281,0,
select,5000,1,12,40554,0,k=2500
closest,5000,6,12,6410,1,d=71,580495
mergesort,10000,2,10,143250,1,
quicksort,10000,3,10,152797,0,
select,10000,4,12,80350,0,k=5000
closest,10000,17,13,12968,1,d=69,430515
mergesort,20000,7,11,306629,1,
quicksort,20000,5,9,330243,0,
select,20000,1,15,164786,0,k=10000
closest,20000,38,14,26147,1,d=4,658653
mergesort,50000,19,12,881957,1,
quicksort,50000,8,10,919791,0,
select,50000,5,15,410730,0,k=25000
closest,50000,173,16,71018,1,d=12,743416
